date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:39	83337/83337	---M--	200	added ('OK')	image/png	etag:%2214589-64623683-a68f8bc8e7da2aff;;;%22	https://mines.lacasadasorte.com.br/wp-content/uploads/elementor/thumbs/logo-png-mina-de-ouro-q6i4467xqs1iwa3hpbixt9hkf42cyn5qr5y83pksyo.png	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/uploads/elementor/thumbs/logo-png-mina-de-ouro-q6i4467xqs1iwa3hpbixt9hkf42cyn5qr5y83pksyo.png	(from https://mines.lacasadasorte.com.br/)
12:45:40	108543/108543	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2022%20May%202023%2015:45:39%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Kaikekizzy/Downloads/Mines/connect.facebook.net/en_US/fbevents.js	(from https://mines.lacasadasorte.com.br/)
12:45:40	18861/18861	---M--	200	added ('OK')	image/png	etag:%2249ad-64623680-d6026313481c7501;;;%22	https://mines.lacasadasorte.com.br/wp-content/uploads/2023/05/setas-para-baixo.png	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/uploads/2023/05/setas-para-baixo.png	(from https://mines.lacasadasorte.com.br/)
12:45:40	89058/89058	---M--	200	added ('OK')	image/jpeg	etag:%2215be2-64623682-b95802849ba25960;;;%22	https://mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_07-54-22-473x1024.jpg	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_07-54-22-473x1024.jpg	(from https://mines.lacasadasorte.com.br/)
12:45:40	75820/75820	---M--	200	added ('OK')	image/jpeg	etag:%221282c-64623682-377090f8f49c4f0f;;;%22	https://mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_08-19-08-496x1024.jpg	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_08-19-08-496x1024.jpg	(from https://mines.lacasadasorte.com.br/)
12:45:41	76813/76813	---M--	200	added ('OK')	image/jpeg	etag:%2212c0d-64623682-a53f933ea7b2585d;;;%22	https://mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_08-22-07-473x1024.jpg	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/uploads/2023/05/Copia-de-Copia-de-photo_2023-03-16_08-22-07-473x1024.jpg	(from https://mines.lacasadasorte.com.br/)
12:45:41	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-644291a2-da7201c2d7dc3b21;gz%22	https://mines.lacasadasorte.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.4.4	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.minedb1.css	(from https://mines.lacasadasorte.com.br/)
12:45:41	4702/4702	---M-Z	200	added ('OK')	application/x-javascript	etag:%22125e-644291b6-1a9598325924a29e;gz%22	https://mines.lacasadasorte.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.4.1	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min5589.js	(from https://mines.lacasadasorte.com.br/)
12:45:42	4879/4879	---M-Z	200	added ('OK')	application/x-javascript	etag:%22130f-644291a2-6b79a40ce77d0f1c;gz%22	https://mines.lacasadasorte.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.4.4	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.minedb1.js	(from https://mines.lacasadasorte.com.br/)
12:45:42	89815/89815	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215ed7-6442914c-41f28d0cb20539b6;gz%22	https://mines.lacasadasorte.com.br/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/Kaikekizzy/Downloads/Mines/mines.lacasadasorte.com.br/wp-includes/js/jquery/jquery.min5aed.js	(from https://mines.lacasadasorte.com.br/)
